identity,image_path,filename,partition
Abdullah_Gul,data/lfw-deepfunneled/lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0003.jpg,Abdullah_Gul_0003.jpg,protected
Abdullah_Gul,data/lfw-deepfunneled/lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0011.jpg,Abdullah_Gul_0011.jpg,protected
Adrien_Brody,data/lfw-deepfunneled/lfw-deepfunneled/Adrien_Brody/Adrien_Brody_0005.jpg,Adrien_Brody_0005.jpg,protected
Adrien_Brody,data/lfw-deepfunneled/lfw-deepfunneled/Adrien_Brody/Adrien_Brody_0006.jpg,Adrien_Brody_0006.jpg,protected
Al_Gore,data/lfw-deepfunneled/lfw-deepfunneled/Al_Gore/Al_Gore_0002.jpg,Al_Gore_0002.jpg,protected
Al_Gore,data/lfw-deepfunneled/lfw-deepfunneled/Al_Gore/Al_Gore_0003.jpg,Al_Gore_0003.jpg,protected
Al_Sharpton,data/lfw-deepfunneled/lfw-deepfunneled/Al_Sharpton/Al_Sharpton_0006.jpg,Al_Sharpton_0006.jpg,protected
Al_Sharpton,data/lfw-deepfunneled/lfw-deepfunneled/Al_Sharpton/Al_Sharpton_0007.jpg,Al_Sharpton_0007.jpg,protected
Albert_Costa,data/lfw-deepfunneled/lfw-deepfunneled/Albert_Costa/Albert_Costa_0001.jpg,Albert_Costa_0001.jpg,protected
Albert_Costa,data/lfw-deepfunneled/lfw-deepfunneled/Albert_Costa/Albert_Costa_0002.jpg,Albert_Costa_0002.jpg,protected
Alejandro_Toledo,data/lfw-deepfunneled/lfw-deepfunneled/Alejandro_Toledo/Alejandro_Toledo_0021.jpg,Alejandro_Toledo_0021.jpg,protected
Alejandro_Toledo,data/lfw-deepfunneled/lfw-deepfunneled/Alejandro_Toledo/Alejandro_Toledo_0036.jpg,Alejandro_Toledo_0036.jpg,protected
Ali_Naimi,data/lfw-deepfunneled/lfw-deepfunneled/Ali_Naimi/Ali_Naimi_0007.jpg,Ali_Naimi_0007.jpg,protected
Ali_Naimi,data/lfw-deepfunneled/lfw-deepfunneled/Ali_Naimi/Ali_Naimi_0008.jpg,Ali_Naimi_0008.jpg,protected
Alvaro_Uribe,data/lfw-deepfunneled/lfw-deepfunneled/Alvaro_Uribe/Alvaro_Uribe_0018.jpg,Alvaro_Uribe_0018.jpg,protected
Alvaro_Uribe,data/lfw-deepfunneled/lfw-deepfunneled/Alvaro_Uribe/Alvaro_Uribe_0033.jpg,Alvaro_Uribe_0033.jpg,protected
Amelia_Vega,data/lfw-deepfunneled/lfw-deepfunneled/Amelia_Vega/Amelia_Vega_0004.jpg,Amelia_Vega_0004.jpg,protected
Amelia_Vega,data/lfw-deepfunneled/lfw-deepfunneled/Amelia_Vega/Amelia_Vega_0006.jpg,Amelia_Vega_0006.jpg,protected
Amelie_Mauresmo,data/lfw-deepfunneled/lfw-deepfunneled/Amelie_Mauresmo/Amelie_Mauresmo_0005.jpg,Amelie_Mauresmo_0005.jpg,protected
Amelie_Mauresmo,data/lfw-deepfunneled/lfw-deepfunneled/Amelie_Mauresmo/Amelie_Mauresmo_0020.jpg,Amelie_Mauresmo_0020.jpg,protected
Ana_Guevara,data/lfw-deepfunneled/lfw-deepfunneled/Ana_Guevara/Ana_Guevara_0005.jpg,Ana_Guevara_0005.jpg,protected
Ana_Guevara,data/lfw-deepfunneled/lfw-deepfunneled/Ana_Guevara/Ana_Guevara_0007.jpg,Ana_Guevara_0007.jpg,protected
Ana_Palacio,data/lfw-deepfunneled/lfw-deepfunneled/Ana_Palacio/Ana_Palacio_0003.jpg,Ana_Palacio_0003.jpg,protected
Ana_Palacio,data/lfw-deepfunneled/lfw-deepfunneled/Ana_Palacio/Ana_Palacio_0006.jpg,Ana_Palacio_0006.jpg,protected
Andre_Agassi,data/lfw-deepfunneled/lfw-deepfunneled/Andre_Agassi/Andre_Agassi_0012.jpg,Andre_Agassi_0012.jpg,protected
